Group Class code;Class code;January;February;March;April;May;June;July;August;September;October;November;December
121;1210;26,950,495;22,840,130;25,502,303;23,988,945;27,554,528;24,346,158;27,251,854;27,577,636;25,508,746;27,015,158;22,932,071;27,677,276
121;1210;12,104,329;9,693,775;10,339,016;13,145,681;16,002,583;11,638,648;11,539,997;9,719,321;10,619,363;9,401,628;11,231,637;15,178,230
121;1210;10,604,930;9,711,211;10,391,539;9,729,736;12,043,347;10,247,216;10,293,571;10,314,891;9,470,604;11,314,411;9,496,162;10,840,973
121;1210;4,257,442;3,835,693;4,034,596;4,316,119;4,868,685;4,336,678;3,934,032;4,651,251;3,901,751;3,833,838;3,275,049;4,064,335
121;1210;1,192,792;1,014,987;1,139,968;1,048,871;1,380,390;1,081,188;1,112,488;969,273;1,032,599;1,159,396;926,962;1,042,506
121;1210;732,606;672,39;706,938;685,924;816,578;926,415;978,632;884,986;965,552;1,032,311;948,628;1,057,134
121;1210;2,701,883;2,541,101;2,734,640;3,182,233;3,723,282;3,823,669;3,249,250;2,822,483;2,865,022;3,225,279;2,806,066;2,989,386
121;1210;1,661,536;1,422,307;1,527,608;1,528,620;1,590,225;1,416,581;1,546,934;1,353,393;1,348,220;1,519,847;1,343,211;1,552,085
121;1210;1,657,730;1,487,927;1,566,476;1,500,008;1,636,702;1,484,942;1,540,426;1,435,556;1,419,234;1,651,155;1,518,755;1,774,171
121;1210;4,973,062;4,516,551;5,389,475;5,666,061;5,390,855;4,727,301;5,282,839;5,210,684;4,475,946;5,420,424;5,027,216;5,771,502
121;1211;10,127,750;7,743,180;12,335,789;12,633,286;10,311,626;11,138,007;9,771,845;16,683,545;7,059,126;10,533,590;6,741,226;11,607,470
121;1211;5,699,151;4,546,485;5,534,936;5,341,126;6,254,085;6,749,906;8,237,615;8,665,134;5,913,200;8,180,528;4,760,963;6,959,848
121;1211;1,105,434;970,024;1,160,175;1,231,788;1,441,730;1,088,001;1,069,222;1,088,308;932,319;1,041,334;1,034,624;952,049
121;1211;10,085,125;8,394,587;10,761,241;10,179,505;11,562,190;10,459,251;10,540,347;13,108,130;14,741,543;11,010,343;8,735,432;11,029,649
121;1211;4,201,813;4,515,472;4,057,062;5,474,350;4,838,674;5,614,089;5,029,807;4,928,815;4,791,831;6,964,385;5,061,002;5,723,078
121;1211;3,024,095;2,702,215;2,983,723;3,083,771;3,917,762;3,399,569;3,105,955;3,160,033;2,921,884;3,286,643;2,959,750;2,961,083
121;1211;1,403,144;1,211,008;1,355,290;1,361,898;1,470,943;1,326,007;1,611,538;1,666,878;1,232,049;1,328,633;1,112,158;1,189,756
121;1212;816,229;736,152;830,06;878,094;1,295,001;839,709;903,005;837,641;860,381;1,072,110;775,807;825,462
121;1212;8,636,015;7,765,001;8,418,943;8,278,678;9,049,400;8,115,355;9,076,782;8,100,492;7,956,147;9,639,850;7,847,823;8,532,409
121;1212;11,701,530;12,442,218;13,513,720;12,908,256;13,968,948;12,768,296;14,883,396;13,336,795;11,752,592;15,110,523;12,732,499;17,160,082
121;1212;864,47;778,337;854,372;877,355;1,227,919;923,425;944,292;866,637;864,158;1,039,570;803,771;841,723
121;1212;6,482,607;6,390,256;6,449,240;6,532,653;7,228,628;6,354,604;6,905,338;6,994,178;7,362,555;7,632,477;7,061,939;8,078,717
121;1212;5,363,762;4,191,472;3,681,324;3,817,192;4,662,288;3,931,459;3,792,797;4,572,459;6,148,013;4,391,593;3,684,285;3,952,656
121;1212;1,823,842;2,263,372;1,351,166;1,547,907;1,465,109;1,300,115;1,493,293;1,525,441;1,070,326;1,129,383;1,041,923;1,084,245
121;1212;809,856;769,22;807,329;804,343;927,905;810,149;854,821;774,371;742,244;806,086;711,734;798,349
121;1212;7,828,039;9,041,749;6,729,705;6,207,230;6,949,126;6,399,236;6,934,342;6,509,125;6,386,726;8,380,508;6,463,384;7,398,202
121;1213;1,532,275;1,384,154;1,488,933;1,526,947;1,610,638;1,441,904;1,548,657;1,515,868;1,435,397;1,373,805;1,233,888;1,334,291
121;1213;1,786,848;1,740,888;1,853,205;1,843,953;1,819,627;1,710,791;1,762,874;1,708,343;1,511,148;1,598,443;1,661,554;1,802,932
121;1213;632,031;683,965;714,358;739,315;778,008;696,726;719,013;698,309;658,357;684,024;694,102;788,602
121;1213;150,995;130,347;123,165;130,142;118,085;100,314;107,716;112,751;112,123;108,197;98,703;139,645
121;1214;1,674,444;1,583,570;1,637,845;1,662,456;1,993,174;1,798,791;1,922,275;2,127,860;1,753,319;1,877,461;1,492,571;1,705,483
121;1214;2,353,960;2,099,533;2,495,305;2,450,482;2,832,918;2,550,495;2,611,321;2,369,760;2,276,753;2,508,628;2,799,449;2,348,719
121;1214;6,626,991;6,255,199;6,837,977;7,116,800;8,197,466;6,891,180;6,765,495;6,505,344;6,430,988;10,549,654;5,763,714;6,275,319
121;1214;756,318;710,123;791,083;700,003;839,95;729,087;811,196;758,622;717,03;743,545;554,224;803,227
121;1215;6,638,236;5,696,901;8,817,985;5,960,049;8,186,960;6,369,482;6,556,282;8,367,447;6,624,327;7,061,609;5,024,627;7,097,855
121;1215;3,347,997;5,357,081;8,477,342;10,195,879;9,128,452;6,041,569;5,820,325;4,983,813;4,070,235;4,128,096;2,697,505;3,229,306
121;1215;653,349;558,716;641,084;697,714;857,719;931,425;993,004;974,906;1,060,448;790,921;614,304;720,961
122;1220;19,025,057;17,013,506;20,443,823;18,803,159;20,438,846;17,689,802;20,174,168;22,760,901;19,743,859;23,614,185;21,404,186;22,397,990
122;1220;16,172,996;15,367,109;15,165,609;14,571,254;15,602,795;12,852,332;15,023,154;16,333,428;15,647,526;18,449,287;14,208,731;14,590,158
122;1220;140,465;128,088;140,245;163,338;153,119;145,059;162,386;142,659;144,928;170,35;148,519;166,445
122;1220;1,241,466;1,179,667;1,229,806;1,308,973;1,226,904;1,137,541;1,222,680;1,226,217;1,139,448;1,257,308;1,123,927;1,225,351
122;1220;362,905;286,155;276,691;296,155;323,994;319,706;413,414;362,966;353,067;338,607;281,356;370,293
122;1221;5,582,816;4,923,319;5,359,599;5,597,561;5,606,993;4,902,274;5,548,941;6,005,322;5,795,464;7,249,500;6,325,710;6,653,147
122;1221;621,429;574,932;621,033;647,741;634,893;561,211;534,822;633,4;579,201;712,495;623,486;659,749
122;1222;4,558,783;4,020,449;4,500,434;4,476,057;4,744,490;4,136,203;4,446,606;4,699,999;4,018,517;4,821,360;4,159,706;4,250,475
122;1222;1,825,183;1,632,716;1,875,725;1,694,654;1,533,332;1,607,243;1,606,435;1,594,787;1,402,320;1,693,289;1,453,319;1,426,293
122;1222;2,792,711;2,392,380;2,719,566;2,629,096;3,135,981;2,613,093;2,870,095;2,798,482;2,466,596;2,935,989;2,476,469;2,583,989
122;1222;2,286,726;1,967,370;2,322,340;2,225,360;2,320,661;2,244,314;2,461,646;2,448,825;2,248,453;2,479,622;2,149,356;2,250,123
122;1222;191,537;168,768;165,213;168,179;139,637;122,768;141,78;148,686;144,886;147,225;151,955;174,325
122;1223;3,242,600;2,412,970;2,856,367;2,474,234;2,594,622;2,500,732;2,703,656;2,559,257;2,819,272;2,711,310;2,999,843;2,473,643
122;1223;12,062,617;11,195,528;12,090,767;11,724,400;13,154,171;12,123,721;14,598,383;15,749,467;13,197,072;15,628,350;13,306,852;15,739,839
